,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1711298083.5967338,87277.0,1257.788,5640.0,1372.415,"{'root--consul': 7.622950819672131, 'root--frontend': 6.311475409836065, 'root--geo': 7.311475409836065, 'root--jaeger': 7.622950819672131, 'root--memcached-profile': 9.508196721311476, 'root--memcached-rate': 6.032786885245901, 'root--memcached-reserve': 13.655737704918034, 'root--mongodb-geo': 7.508196721311475, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 5.131147540983607, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 7.508196721311475, 'root--mongodb-user': 8.852459016393443, 'root--profile': 7.459016393442623, 'root--rate': 7.704918032786885, 'root--recommendation': 8.885245901639344, 'root--reservation': 7.540983606557377, 'root--search': 12.40983606557377, 'root--user': 6.131147540983607}",1711298083.5967338,1711298114.1491668
1711298114.1505613,88113.0,529.805,4400.0,1141.004,"{'root--consul': 7.0, 'root--frontend': 6.0, 'root--geo': 7.0, 'root--jaeger': 7.0, 'root--memcached-profile': 10.0, 'root--memcached-rate': 5.0, 'root--memcached-reserve': 21.0, 'root--mongodb-geo': 6.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 6.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 6.0, 'root--recommendation': 10.0, 'root--reservation': 8.0, 'root--search': 20.0, 'root--user': 4.0}",1711298114.1505613,1711298144.7139938
1711298144.715411,89276.0,32.344,462.59,80.981,"{'root--consul': 7.0, 'root--frontend': 6.0, 'root--geo': 7.0, 'root--jaeger': 7.0, 'root--memcached-profile': 10.0, 'root--memcached-rate': 5.0, 'root--memcached-reserve': 21.0, 'root--mongodb-geo': 6.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 6.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 6.0, 'root--recommendation': 10.0, 'root--reservation': 8.0, 'root--search': 20.0, 'root--user': 4.0}",1711298144.715411,1711298174.7761676
1711298174.777548,89278.0,30.271,580.61,95.181,"{'root--consul': 7.0, 'root--frontend': 6.0, 'root--geo': 7.0, 'root--jaeger': 7.0, 'root--memcached-profile': 10.0, 'root--memcached-rate': 5.0, 'root--memcached-reserve': 21.0, 'root--mongodb-geo': 6.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 6.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 6.0, 'root--recommendation': 10.0, 'root--reservation': 8.0, 'root--search': 20.0, 'root--user': 4.0}",1711298174.777548,1711298204.8420963
1711298204.8737903,88736.0,157.212,1760.0,375.728,"{'root--consul': 7.0, 'root--frontend': 6.0, 'root--geo': 7.0, 'root--jaeger': 7.0, 'root--memcached-profile': 10.0, 'root--memcached-rate': 5.0, 'root--memcached-reserve': 21.0, 'root--mongodb-geo': 6.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 6.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 6.0, 'root--recommendation': 10.0, 'root--reservation': 8.0, 'root--search': 20.0, 'root--user': 4.0}",1711298204.8737903,1711298234.9388657
1711298234.940206,89312.0,7.352,152.7,35.702,"{'root--consul': 5.4, 'root--frontend': 6.25, 'root--geo': 5.8, 'root--jaeger': 8.266666666666667, 'root--memcached-profile': 7.6, 'root--memcached-rate': 4.6, 'root--memcached-reserve': 16.6, 'root--mongodb-geo': 5.633333333333334, 'root--mongodb-profile': 6.533333333333333, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 8.683333333333334, 'root--mongodb-reservation': 5.433333333333334, 'root--mongodb-user': 6.866666666666666, 'root--profile': 8.233333333333333, 'root--rate': 5.433333333333334, 'root--recommendation': 8.3, 'root--reservation': 6.866666666666666, 'root--search': 18.3, 'root--user': 5.4}",1711298234.940206,1711298265.0061622
1711298265.0071275,89321.0,10.603,64.13,16.28,"{'root--consul': 3.0, 'root--frontend': 7.0, 'root--geo': 4.0, 'root--jaeger': 15.0, 'root--memcached-profile': 4.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 9.0, 'root--mongodb-geo': 5.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 13.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 4.0, 'root--search': 14.0, 'root--user': 45.67213114754098}",1711298265.0071275,1711298295.567289
1711298295.568754,89317.0,7.846,62.14,14.097,"{'root--consul': 3.0, 'root--frontend': 7.0, 'root--geo': 4.0, 'root--jaeger': 15.0, 'root--memcached-profile': 4.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 9.0, 'root--mongodb-geo': 5.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 13.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 4.0, 'root--search': 14.0, 'root--user': 46.0}",1711298295.568754,1711298325.6425624
1711298325.6440108,89233.0,13.978,70.08,18.949,"{'root--consul': 3.0, 'root--frontend': 7.0, 'root--geo': 4.0, 'root--jaeger': 15.0, 'root--memcached-profile': 4.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 9.0, 'root--mongodb-geo': 5.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 13.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 4.0, 'root--search': 14.0, 'root--user': 46.0}",1711298325.6440108,1711298355.6989918
1711298355.700385,89316.0,16.128,104.32,24.106,"{'root--consul': 3.0, 'root--frontend': 7.0, 'root--geo': 4.0, 'root--jaeger': 15.0, 'root--memcached-profile': 4.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 9.0, 'root--mongodb-geo': 5.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 13.0, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 4.0, 'root--search': 14.0, 'root--user': 46.0}",1711298355.700385,1711298385.773038
