,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1711156239.738307,36674.0,11359.73,18460.0,3898.444,"{'root--consul': 8.0, 'root--frontend': 9.0, 'root--geo': 8.0, 'root--jaeger': 9.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 9.0, 'root--mongodb-rate': 9.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 9.0, 'root--search': 8.0, 'root--user': 8.0}",1711156239.738307,1711156270.3010464
1711156270.3024688,38803.0,11535.315,17500.0,3707.422,"{'root--consul': 8.098360655737705, 'root--frontend': 8.80327868852459, 'root--geo': 8.098360655737705, 'root--jaeger': 8.80327868852459, 'root--memcached-profile': 8.80327868852459, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.80327868852459, 'root--mongodb-rate': 8.80327868852459, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 8.049180327868852, 'root--recommendation': 8.0, 'root--reservation': 8.80327868852459, 'root--search': 8.049180327868852, 'root--user': 8.049180327868852}",1711156270.3024688,1711156300.8597922
1711156300.861107,46960.0,8734.635,14340.0,2663.89,"{'root--consul': 9.0, 'root--frontend': 8.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.80327868852459, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 9.0, 'root--profile': 7.967213114754099, 'root--rate': 9.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 9.0}",1711156300.861107,1711156331.4428425
1711156331.4441376,38748.0,10695.039,16970.0,3163.629,"{'root--consul': 9.0, 'root--frontend': 8.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 9.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 9.0}",1711156331.4441376,1711156361.5140774
1711156361.5155396,37106.0,11607.694,17870.0,3941.867,"{'root--consul': 9.0, 'root--frontend': 8.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 9.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 9.0}",1711156361.5155396,1711156392.072687
1711156392.0740972,51140.0,8714.286,13120.0,2457.755,"{'root--consul': 9.0, 'root--frontend': 8.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 9.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 9.0}",1711156392.0740972,1711156422.6349058
1711156422.6362615,53050.0,7820.155,12450.0,2457.605,"{'root--consul': 9.0, 'root--frontend': 8.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 9.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 9.0}",1711156422.6362615,1711156452.7134092
1711156452.714384,52760.0,8358.896,12440.0,2271.036,"{'root--consul': 8.065573770491802, 'root--frontend': 8.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.819672131147541, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.065573770491802, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.868852459016393, 'root--mongodb-rate': 8.819672131147541, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.065573770491802, 'root--mongodb-user': 8.065573770491802, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 8.819672131147541, 'root--reservation': 8.721311475409836, 'root--search': 9.0, 'root--user': 8.098360655737705}",1711156452.714384,1711156483.306253
1711156483.307738,48439.0,8570.244,13840.0,2648.886,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 9.0, 'root--mongodb-rate': 9.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 9.0, 'root--reservation': 9.0, 'root--search': 9.0, 'root--user': 8.0}",1711156483.307738,1711156513.3950186
1711156513.3959813,35953.0,11673.474,18010.0,3654.381,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 9.0, 'root--mongodb-rate': 9.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 9.0, 'root--reservation': 9.0, 'root--search': 9.0, 'root--user': 8.0}",1711156513.3959813,1711156543.9483428
